,ticker,company name
0,AIW,ARLINGTON ASSET INVESTMENT CORP
1,AMG,AFFILIATED MANAGERS GROUP 
2,APO,APOLLO GLOBAL MANAGEMENT 
3,BX,BLACKSTONE GROUP 
4,CG,CARLYLE GROUP LP
5,CNS,COHEN & STEERS 
6,DHIL,DIAMOND HILL INVESTMENT GROUP 
7,EV,EATON VANCE CORP
8,FHI,FEDERATED INVESTORS  PA
9,GROW,U S GLOBAL INVESTORS 
10,IVZ,INVESCO LTD
11,JLL,JONES LANG LASALLE 
12,KKR,KKR & CO 
13,MIC,MACQUARIE INFRASTRUCTURE CORP
14,MN,MANNING & NAPIER 
15,OCN,OCWEN FINANCIAL CORP
16,SCU,OCH-ZIFF CAPITAL MANAGEMENT GROUP 
17,PZN,PZENA INVESTMENT MANAGEMENT 
18,WAC,DITECH HOLDING CORP
19,WDR,WADDELL & REED FINANCIAL 
20,WETF,WISDOMTREE INVESTMENTS 
21,WHG,WESTWOOD HOLDINGS GROUP 
