,ticker,company name
0,ALB,ALBEMARLE CORP
1,AMRC,AMERESCO 
2,APA,APACHE CORP
3,APC,ANADARKO PETROLEUM CORP
4,APD,AIR PRODUCTS & CHEMICALS  DE
5,APU,AMERIGAS PARTNERS LP
6,AROC,ARCHROCK 
7,ATI,ALLEGHENY TECHNOLOGIES 
8,BCPC,BALCHEM CORP
9,BG,BUNGELTD
10,BPL,BUCKEYE PARTNERS LP
11,CBT,CABOT CORP
12,CDE,COEUR MINING 
13,CE,CELANESE CORP
14,CEQP,CRESTWOOD EQUITY PARTNERS LP
15,CF,CF INDUSTRIES HOLDINGS 
16,CLB,CORE LABORATORIES N V
17,CLF,CLEVELAND-CLIFFS 
18,CLR,CONTINENTAL RESOURCES 
19,CMC,MERCIAL METALS CO
20,CMP,PASS MINERALS INTERNATIONAL 
21,CNX,CNX RESOURCES CORP
22,COG,CABOT OIL & GAS CORP
23,COP,CONOCOPHILLIPS
24,CQP,CHENIERE ENERGY PARTNERS LP
25,CRK,STOCK RESOURCES 
26,CRS,CARPENTER TECHNOLOGY CORP
27,CVA,COVANTA HOLDING CORP
28,CVI,CVR ENERGY 
29,CVX,CHEVRON CORP
30,CXO,CONCHO RESOURCES 
31,DCP,DCP MIDSTREAM LP
32,DTE,DTE ENERGY CO
33,DVN,DEVON ENERGY CORPDE
34,EMN,EASTMAN CHEMICAL CO
35,ENBL,ENABLE MIDSTREAM PARTNERS LP
36,EOG,EOG RESOURCES 
37,EPD,ENTERPRISE PRODUCTS PARTNERS LP
38,EQM,EQM MIDSTREAM PARTNERS LP
39,EQT,EQT CORP
40,FANG,DIAMONDBACK ENERGY 
41,FCX,FREEPORT-MCMORAN 
42,FMC,FMC CORP
43,FSLR,FIRST SOLAR 
44,GRA,W R GRACE & CO
45,HAL,HALLIBURTON CO
46,HEP,HOLLY ENERGY PARTNERS LP
47,HES,HESS CORP
48,HFC,HOLLYFRONTIER CORP
49,HL,HECLA MINING CODE
50,HP,HELMERICH & PAYNE 
51,HUN,HUNTSMAN CORP
52,INT,WORLD FUEL SERVICES CORP
53,IOSP,INNOSPEC 
54,KMI,KINDER MORGAN 
55,KRO,KRONOS WORLDWIDE 
56,KWR,QUAKER CHEMICAL CORP
57,LNG,CHENIERE ENERGY 
58,LYB,LYONDELLBASELL INDUSTRIES NV
59,MMP,MAGELLAN MIDSTREAM PARTNERS LP
60,MOS,MOSAIC CO
61,MPC,MARATHON PETROLEUM CORP
62,MPLX,MPLX LP
63,MRO,MARATHON OIL CORP
64,MTDR,MATADOR RESOURCES CO
65,MTX,MINERALS TECHNOLOGIES 
66,MUR,MURPHY OIL CORP
67,MUSA,MURPHY USA 
68,NBL,NOBLE ENERGY 
69,NEM,NEWMONT CORP DE
70,NEU,NEWMARKET CORP
71,NFG,NATIONAL FUEL GAS CO
72,NOV,NATIONAL OILWELL VARCO 
73,NUE,NUCOR CORP
74,OLN,OLIN CORP
75,OXY,OCCIDENTAL PETROLEUM CORP DE
76,PAA,PLAINS ALL AMERICAN PIPELINE LP
77,PBF,PBF ENERGY 
78,PDCE,PDC ENERGY 
79,PLUG,PLUG POWER 
80,PPG,PPG INDUSTRIES 
81,PSX,PHILLIPS 66
82,PSXP,PHILLIPS 66 PARTNERS LP
83,PXD,PIONEER NATURAL RESOURCES CO
84,REGI,RENEWABLE ENERGY GROUP 
85,RGLD,ROYAL GOLD 
86,RIG,TRANSOCEAN LTD
87,RPM,RPM INTERNATIONAL DE
88,RRC,RANGE RESOURCES CORP
89,RS,RELIANCE STEEL & ALUMINUM CO
90,SANM,SANMINA CORP
91,SCCO,SOUTHERN COPPER CORP
92,SCL,STEPAN CO
93,SEMG,SEMGROUP CORP
94,SLB,SCHLUMBERGER LIMITEDNV
95,SPWR,SUNPOWER CORP
96,STLD,STEEL DYNAMICS 
97,SWN,SOUTHWESTERN ENERGY CO
98,SXT,SENSIENT TECHNOLOGIES CORP
99,TCP,TC PIPELINES LP
100,TRGP,TARGA RESOURCES CORP
101,TROX,TRONOX HOLDINGS PLC
102,USAC,USA PRESSION PARTNERS LP
103,VLO,VALERO ENERGY CORPTX
104,WDFC,WD 40 CO
105,WLK,WESTLAKE CHEMICAL CORP
106,WMB,WILLIAMS PANIES 
107,WOR,WORTHINGTON INDUSTRIES 
108,WPX,WPX ENERGY 
109,X,UNITED STATES STEEL CORP
110,XEC,CIMAREX ENERGY CO
111,XOM,EXXON MOBIL CORP
