,ticker,company name
0,ADBE,ADOBE 
1,ADSK,AUTODESK 
2,ANSS,ANSYS 
3,ATVI,ACTIVISION BLIZZARD 
4,BR,BROADRIDGE FINANCIAL SOLUTIONS 
5,CDNS,CADENCE DESIGN SYSTEMS 
6,CERN,CERNER CORP
7,CHKP,CHECK POINT SOFTWARE TECHNOLOGIES LTD
8,CRM,SALESFORCE 
9,CSGP,COSTAR GROUP 
10,CTXS,CITRIX SYSTEMS 
11,EA,ELECTRONIC ARTS 
12,FIS,FIDELITY NATIONAL INFORMATION SERVICES 
13,FTNT,FORTINET 
14,IBM,INTERNATIONAL BUSINESS MACHINES CORP
15,INTU,INTUIT 
16,JKHY,HENRY JACK & ASSOCIATES 
17,MSCI,MSCI 
18,MSFT,MICROSOFT CORP
19,NOW,SERVICENOW 
20,ORCL,ORACLE CORP
21,OTEX,OPEN TEXT CORP
22,PANW,PALO ALTO NETWORKS 
23,ROP,ROPER TECHNOLOGIES 
24,SPLK,SPLUNK 
25,SSNC,SS&C TECHNOLOGIES HOLDINGS 
26,NLOK,SYMANTEC CORP
27,TTWO,TAKE TWO INTERACTIVE SOFTWARE 
28,TYL,TYLER TECHNOLOGIES 
29,VRSK,VERISK ANALYTICS 
30,WDAY,WORKDAY 
