,ticker,company name
0,BAC,BANK OF AMERICA CORP DE
1,TFC,BB&T CORP
2,BK,BANK OF NEW YORK MELLON CORP
3,C,CITIGROUP 
4,CMA,ERICA  NEW
5,COF,CAPITAL ONE FINANCIAL CORP
6,FHN,FIRST HORIZON NATIONAL CORP
7,GS,GOLDMAN SACHS GROUP 
8,HBAN,HUNTINGTON BANCSHARES MD
9,JPM,JPMORGAN CHASE & CO
10,KEY,KEYCORP NEW
11,MS,MORGAN STANLEY
12,MTB,M&T BANK CORP
13,NTRS,NORTHERN TRUST CORP
14,NYCB,NEW YORK MUNITY BANCORP 
15,PBCT,PEOPLE'S UNITED FINANCIAL 
16,PNC,PNC FINANCIAL SERVICES GROUP 
17,RF,REGIONS FINANCIAL CORP
18,SCHW,SCHWAB CHARLES CORP
19,SIVB,SVB FINANCIAL GROUP
20,SNV,SYNOVUS FINANCIAL CORP
21,STI,SUNTRUST BANKS 
22,STT,STATE STREET CORP
23,USB,US BANCORP \DE\
24,WAL,WESTERN ALLIANCE BANCORPORATION
25,WFC,WELLS FARGO & PANYMN
